round,client_id,epoch,train_loss,val_loss,der,acc
13,0,4,595.809814453125,,0.3603833865814697,0.6396166134185304
13,0,5,187.6273193359375,,0.3067092651757189,0.2939297124600639
14,0,1,1.7401529550552368,,0.026009582477754895,0.973990417522245
14,0,2,23.532779693603516,,0.026009582477754964,0.973990417522245
14,0,3,2.111926317214966,,0.5126625598904858,0.487337440109514
14,0,4,8.54300308227539,,0.6358658453114306,0.36413415468856947
14,0,5,1.9707746505737305,,0.026009582477754964,0.973990417522245
15,0,1,2.0904393196105957,,0.4006006006006006,0.331105913798864
15,0,2,65.81462860107422,,0.3989989989990045,0.3337788172402272
15,0,3,34.98114776611328,,0.40080080080080077,0.331105913798864
15,0,4,28.334131240844727,,0.4042042042042128,0.3254259939859673
15,0,5,254.99252319335938,,0.40040040040040586,0.3317741396592048
16,0,1,1.691972255706787,,0.4057942057942112,0.32167832167832167
16,0,2,1853.9881591796875,,0.40079920079920983,0.33033633033633036
16,0,3,6.856783866882324,,0.3038961038961039,0.4835164835164835
16,0,4,1.8778431415557861,,0.3994005994006087,0.33433233433233434
16,0,5,4.61281156539917,,0.4511488511488614,0.2480852480852481
17,0,1,1.834359884262085,,0.39719719719720536,0.33277647844971603
17,0,2,85.42345428466797,,0.3971971971971971,0.3337788172402272
17,0,3,51.9120979309082,,0.40080080080080616,0.331105913798864
17,0,4,4.062975883483887,,0.2646646646646647,0.5583027063147343
17,0,5,173.36111450195312,,0.40080080080080616,0.331105913798864
18,0,1,1.722885251045227,,0.3616613418530351,0.6383386581469649
18,0,2,8.819613456726074,,0.3603833865814696,0.6396166134185304
18,0,3,7.029179573059082,,0.3827476038338657,0.6172523961661341
18,0,4,97.33715057373047,,0.3610223642172523,0.6389776357827476
18,0,5,826.3496704101562,,0.3603833865814696,0.6396166134185304
19,0,1,1.3807719945907593,,0.026009582477754964,0.973990417522245
19,0,2,4.478511333465576,,0.026009582477754895,0.973990417522245
19,0,3,3.9133570194244385,,0.5639972621492128,0.43600273785078714
19,0,4,5.942372798919678,,0.026009582477754895,0.973990417522245
19,0,5,69.79519653320312,,0.026009582477754895,0.973990417522245
20,0,1,1.6207867860794067,,0.40019980019980556,0.33266733266733267
20,0,2,14.83350658416748,,0.39680319680320614,0.3386613386613387
20,0,3,20.447298049926758,,0.39540459540460415,0.3333333333333333
20,0,4,25.96438217163086,,0.400599400599406,0.33233433233433235
20,0,5,47.56378173828125,,0.3594405594405596,0.32667332667332666
1,1,1,3.788928270339966,,0.5676323676323816,0.003996003996003996
1,1,2,52.4719352722168,,0.4199800199800293,0.09157509157509157
1,1,3,16954.869140625,,0.4000000000000054,0.3333333333333333
1,1,4,172.50355529785156,,0.37662337662338174,0.35664335664335667
1,1,5,201.38619995117188,,0.3828171828171915,0.33666333666333664
2,1,1,9.005294799804688,,0.9842573579739906,0.1464750171115674
2,1,2,164.9539794921875,,0.9911019849418207,0.00889801505817933
2,1,3,282.003173828125,,0.026009582477754964,0.973990417522245
2,1,4,795.9468383789062,,0.026009582477754964,0.973990417522245
2,1,5,737723.5,,0.026009582477754964,0.026009582477754964
3,1,1,1.8959317207336426,,0.36166134185303517,0.6383386581469649
3,1,2,280.1410827636719,,0.3584664536741214,0.6396166134185304
3,1,3,449.3046875,,1.0140575079872205,0.0
3,1,4,2011.4171142578125,,0.3603833865814697,0.35782747603833864
3,1,5,3315.415771484375,,0.3603833865814696,0.3603833865814696
4,1,1,3.6028671264648438,,0.4000000000000091,0.3333333333333333
4,1,2,12.003795623779297,,0.4000000000000054,0.3333333333333333
4,1,3,79.1285400390625,,0.38381618381618904,0.3603063603063603
4,1,4,1727.28369140625,,0.39999999999999997,0.3333333333333333
4,1,5,514.3136596679688,,0.4000000000000092,0.3333333333333333
5,1,1,1.2981752157211304,,0.04038329911019852,0.9596167008898016
5,1,2,830.5044555664062,,0.026009582477755016,0.973990417522245
5,1,3,1.4111298322677612,,0.28678986995208705,0.7132101300479123
5,1,4,2.111753225326538,,0.028062970568103997,0.971937029431896
5,1,5,8.686684608459473,,0.3340177960301164,0.6659822039698836
6,1,1,1.8824474811553955,,0.495207667731629,0.5047923322683706
6,1,2,213.36920166015625,,0.3757188498402556,0.6242811501597444
6,1,3,92.9803237915039,,0.3603833865814696,0.6396166134185304
6,1,4,1255.5015869140625,,0.3603833865814696,0.6396166134185304
6,1,5,1726.99462890625,,0.48753993610223634,0.5124600638977636
7,1,1,1.757481336593628,,0.15468856947296453,0.8453114305270363
7,1,2,389.13787841796875,,0.026009582477754895,0.973990417522245
7,1,3,39.14752197265625,,0.2943189596167007,0.7056810403832992
7,1,4,6.261969566345215,,0.026009582477754964,0.973990417522245
7,1,5,1.0475143194198608,,0.026009582477754964,0.973990417522245
8,1,1,1.2922602891921997,,0.4435318275153991,0.5564681724845996
8,1,2,194.7955780029297,,0.026009582477755016,0.973990417522245
8,1,3,74.37619018554688,,0.026009582477755016,0.973990417522245
8,1,4,181.7078399658203,,0.026009582477754964,0.973990417522245
8,1,5,2132.725341796875,,0.05886379192334021,0.049281314168377825
9,1,1,2.15389347076416,,0.36817177139248575,0.46999076638965837
9,1,2,1519.553466796875,,0.4196400378907484,0.4621421975992613
9,1,3,16.29572296142578,,0.3991158825386802,0.492151431209603
9,1,4,30.582605361938477,,0.42658667508683334,0.44783010156971376
9,1,5,8.694808006286621,,0.3763814335333184,0.45937211449676824
10,1,1,2.2735252380371094,,0.3635782747603834,0.6364217252396166
10,1,2,134.093994140625,,0.3603833865814696,0.6396166134185304
